Mix - Cappucino Cocktail,El Paso,Texas,United States,58
Rice - Wild,Atlanta,Georgia,United States,11
Bread - Sour Batard,El Paso,Texas,United States,100
Cheese - Comtomme,Columbus,Georgia,United States,31
Lettuce - Romaine,Fresno,California,United States,93
Pineapple - Regular,Shreveport,Louisiana,United States,52
Wine - Black Tower Qr,Schenectady,New York,United States,57
Papayas,Kansas City,Missouri,United States,24
Wine - Cotes Du Rhone Parallele,Los Angeles,California,United States,84
Bread - 10 Grain,Houston,Texas,United States,74
Beef - Texas Style Burger,Spokane,Washington,United States,56
Icecream - Dstk Strw Chseck,Eugene,Oregon,United States,56
Red Currant Jelly,El Paso,Texas,United States,34
Wine - Riesling Dr. Pauly,Tampa,Florida,United States,88
Butter Ripple - Phillips,San Francisco,California,United States,42
Mountain Dew,Albany,Georgia,United States,28
Knife Plastic - White,Gainesville,Florida,United States,58
Appetizer - Mango Chevre,El Paso,Texas,United States,90
"Wine - White, Gewurtzraminer",Scottsdale,Arizona,United States,54
Chickhen - Chicken Phyllo,New Orleans,Louisiana,United States,29
Compound - Raspberry,El Paso,Texas,United States,94
Energy Drink Red Bull,Pittsburgh,Pennsylvania,United States,51
"Juice - Orange, Concentrate",Hartford,Connecticut,United States,84
Cheese - Cambozola,Amarillo,Texas,United States,66
Container - Clear 16 Oz,San Jose,California,United States,88
Muffin Mix - Carrot,Denver,Colorado,United States,29
Vol Au Vents,Little Rock,Arkansas,United States,5
Scallops - Live In Shell,Kansas City,Missouri,United States,81
Lobster - Tail 6 Oz,Glendale,California,United States,57
Tea - Herbal Orange Spice,Wilmington,North Carolina,United States,58
"Rum - White, Gg White",Van Nuys,California,United States,28
Cherries - Frozen,Indianapolis,Indiana,United States,30
Wooden Mop Handle,Boston,Massachusetts,United States,63
Ginger - Fresh,Fargo,North Dakota,United States,24
Longos - Penne With Pesto,Birmingham,Alabama,United States,21
Lemon Pepper,Dayton,Ohio,United States,35
Chocolate Bar - Reese Pieces,Tucson,Arizona,United States,98
Wine - Barossa Valley Estate,Brooklyn,New York,United States,61
Sauce - Hoisin,Harrisburg,Pennsylvania,United States,18
Coffee - Frthy Coffee Crisp,Metairie,Louisiana,United States,35
Pastry - Mini French Pastries,Albany,New York,United States,36
Chicken - Whole Fryers,Jamaica,New York,United States,41
Syrup - Kahlua Chocolate,Des Moines,Iowa,United States,87
Glycerine,Kansas City,Missouri,United States,73
Wine - Baron De Rothschild,Norfolk,Virginia,United States,19
Extract Vanilla Pure,Dallas,Texas,United States,86
Salt And Pepper Mix - Black,Amarillo,Texas,United States,23
"Nut - Almond, Blanched, Whole",Rochester,New York,United States,28
Wine - Puligny Montrachet A.,Jackson,Mississippi,United States,67
Alize Red Passion,San Antonio,Texas,United States,50
Soup - French Can Pea,El Paso,Texas,United States,21
Cranberries - Dry,Bloomington,Indiana,United States,47
Chervil - Fresh,Pittsburgh,Pennsylvania,United States,6
Cream - 35%,Memphis,Tennessee,United States,59
Shrimp - 100 / 200 Cold Water,Lincoln,Nebraska,United States,89
"Brocolinni - Gaylan, Chinese",Anchorage,Alaska,United States,9
Kellogs Special K Cereal,Prescott,Arizona,United States,45
"Carrots - Purple, Organic",Indianapolis,Indiana,United States,2
Sauce - Oyster,Gainesville,Georgia,United States,23
Bowl 12 Oz - Showcase 92012,Austin,Texas,United States,23
Bay Leaf,Arlington,Virginia,United States,74
Crackers - Soda / Saltins,Palmdale,California,United States,4
Cheese - St. Paulin,Irvine,California,United States,74
Bread Base - Toscano,Memphis,Tennessee,United States,29
Wine - Pinot Noir Stoneleigh,Fort Pierce,Florida,United States,9
"Pepper - Black, Whole",Washington,District of Columbia,United States,84
"Radish - Black, Winter, Organic",Rochester,New York,United States,90
Fuji Apples,New York City,New York,United States,79
English Muffin,Youngstown,Ohio,United States,64
"Wine - Red, Cooking",Hot Springs National Park,Arkansas,United States,57
Compound - Raspberry,Cincinnati,Ohio,United States,27
"Tomatoes - Vine Ripe, Red",Independence,Missouri,United States,73
Wild Boar - Tenderloin,Sterling,Virginia,United States,15
Veal - Loin,Valdosta,Georgia,United States,69
Ecolab - Power Fusion,Miami,Florida,United States,51
Bread - Rye,Laurel,Maryland,United States,84
Onions - Cooking,Huntington,West Virginia,United States,33
Steamers White,Washington,District of Columbia,United States,13
Scrubbie - Scotchbrite Hand Pad,San Antonio,Texas,United States,90
Lychee,San Antonio,Texas,United States,49
Cookie Double Choco,Bronx,New York,United States,14
"Yeast - Fresh, Fleischman",Sterling,Virginia,United States,90
Puree - Passion Fruit,Omaha,Nebraska,United States,30
Extract - Almond,Charlottesville,Virginia,United States,5
Oxtail - Cut,Boston,Massachusetts,United States,94
Bread - White Mini Epi,Shawnee Mission,Kansas,United States,7
Wine - Manischewitz Concord,Philadelphia,Pennsylvania,United States,42
Wine - Alsace Gewurztraminer,Orlando,Florida,United States,9
Crab Brie In Phyllo,Wilkes Barre,Pennsylvania,United States,78
Onions Granulated,Lakeland,Florida,United States,41
Goat - Whole Cut,Boston,Massachusetts,United States,97
Apple - Macintosh,Schenectady,New York,United States,24
"Mushroom - Shitake, Dry",Dallas,Texas,United States,22
